set_path,component_index,true_label_norm,predicted_label,confidence,reason
SavedFiles/0137_VDAudio_ICA.set,1,heart,eye,0.95,"Topography: strong dipolar periocular pattern (score 0.95*0.4). Time series: large, slow, step-like deflections (0.9*0.3). Power: high low-frequency power (0.8*0.2). Segments: movement-related (0.8*0.1). Eye scores dominate (sum=0.38+0.27+0.16+0.08=0.89). Decisive periocular topography and time series, so confidence boosted to 0.95."
SavedFiles/0137_VDAudio_ICA.set,5,heart,muscle,0.9,"Topography: edge-focused, shallow dipole (0.6*0.2). Time series: erratic, spiky (0.8*0.2). Power: positive slope above 20Hz (0.95*0.5, decisive). Segments: sporadic high-frequency bursts (0.8*0.1). Muscle raw sum=0.12+0.16+0.475+0.08=0.835. Decisive power spectrum, so confidence set to 0.9."
SavedFiles/0137_VDAudio_ICA.set,23,muscle,muscle,0.9,"Topography: edge-focused, shallow dipole (0.6*0.2). Time series: erratic, spiky (0.8*0.2). Power: positive slope above 20Hz (0.95*0.5, decisive). Segments: sporadic high-frequency bursts (0.8*0.1). Muscle sum=0.12+0.16+0.475+0.08=0.835. Decisive power spectrum, so confidence set to 0.9."
SavedFiles/0137_VDAudio_ICA.set,39,muscle,brain,0.85,"Topography: central dipolar (0.9*0.3). Time series: rhythmic, wave-like (0.9*0.3). Power: 1/f with peak ~10Hz (0.9*0.3). Segments: consistent oscillatory (0.9*0.1). Brain sum=0.27+0.27+0.27+0.09=0.90. No decisive artifact features, so confidence is 0.90 normalized (rounded to 0.85 after normalization)."
SavedFiles/0137_VDAudio_ICA.set,53,channel_noise,brain,0.85,"Topography: central dipolar (0.9*0.3). Time series: rhythmic, wave-like (0.9*0.3). Power: 1/f with peak ~10Hz (0.9*0.3). Segments: consistent oscillatory (0.9*0.1). Brain sum=0.27+0.27+0.27+0.09=0.90. No decisive artifact features, so confidence is 0.90 normalized (rounded to 0.85 after normalization)."
SavedFiles/0137_VDAudio_ICA.set,66,muscle,brain,0.85,"Topography: central dipolar (0.9*0.3). Time series: rhythmic, wave-like (0.9*0.3). Power: 1/f with peak ~10Hz (0.9*0.3). Segments: consistent oscillatory (0.9*0.1). Brain sum=0.27+0.27+0.27+0.09=0.90. No decisive artifact features, so confidence is 0.90 normalized (rounded to 0.85 after normalization)."
SavedFiles/0161_VD_audio_ICA.set,6,heart,eye,0.91,"Topography: dipolar periocular/anterior (score 0.95, weight 0.4). Time series: step-like with blink-like deflections (score 0.9, weight 0.3). Power spectrum: low frequency, 1/f-like (score 0.8, weight 0.2). Continuous data: movement-related (score 0.8, weight 0.1). All features match eye, no decisive artifact features. Normalized eye score is highest, confidence boosted by strong evidence."
SavedFiles/0161_VD_audio_ICA.set,16,heart,brain,0.93,"Topography: clear dipolar pattern centered over central/parietal (score 0.9, weight 0.3). Time series: rhythmic, wave-like, no abrupt spikes (score 0.9, weight 0.3). Power spectrum: 1/f-like with a peak in the alpha range (score 0.9, weight 0.3). Continuous data: consistent oscillatory (score 0.9, weight 0.1). All features support brain, no decisive artifact features. Normalized brain score is highest, confidence boosted by strong evidence."
SavedFiles/0161_VD_audio_ICA.set,18,eye,brain,0.85,"Topography: dipolar, central/parietal (score 0.9, weight 0.3). Time series: rhythmic, wave-like (score 0.9, weight 0.3). Power spectrum: 1/f-like with some peaks (score 0.9, weight 0.3). Continuous data: consistent oscillatory (score 0.9, weight 0.1). No decisive artifact features. Normalized brain score is highest."
SavedFiles/0161_VD_audio_ICA.set,25,eye,brain,0.85,"Topography: dipolar, central/parietal (score 0.9, weight 0.3). Time series: rhythmic, wave-like (score 0.9, weight 0.3). Power spectrum: 1/f-like with some peaks (score 0.9, weight 0.3). Continuous data: consistent oscillatory (score 0.9, weight 0.1). No decisive artifact features. Normalized brain score is highest."
SavedFiles/0161_VD_audio_ICA.set,33,eye,eye,0.9,"Topography: strong dipolar periocular/anterior (score 0.95, weight 0.4). Time series: slow, step-like, blink-like (score 0.9, weight 0.3). Power spectrum: low frequency, 1/f-like (score 0.8, weight 0.2). Continuous data: movement-related (score 0.8, weight 0.1). All features match eye, no decisive artifact features. Normalized eye score is highest, confidence boosted by strong evidence."
SavedFiles/0161_VD_noaudio_ICA.set,1,heart,brain,0.88,"Topography shows a clear dipolar pattern centered over central/parietal regions (score 0.9, weight 0.3). Time series is rhythmic and wave-like without abrupt shifts (score 0.9, weight 0.3). Power spectrum is 1/f-like with a peak in the alpha range (~10Hz) and possibly beta (score 0.9, weight 0.3). Continuous data segments show consistent oscillatory activity (score 0.9, weight 0.1). No decisive artifact features. Brain scores dominate after normalization."
SavedFiles/0161_VD_noaudio_ICA.set,6,brain,muscle,0.9,"Topography is diffuse with edge activity and a shallow dipole (score 0.6, weight 0.2). Time series is spiky and erratic (score 0.8, weight 0.2). Power spectrum shows a clear positive slope from high frequencies downward (score 0.95, weight 0.5), which is decisive for muscle. Continuous data segments show sporadic high-frequency bursts (score 0.8, weight 0.1). Decisive muscle spectrum triggers high confidence."
SavedFiles/0161_VD_noaudio_ICA.set,11,heart,brain,0.83,"Topography is dipolar, slightly more frontal but not periocular (score 0.7, weight 0.3). Time series is rhythmic, not spiky or erratic (score 0.7, weight 0.3). Power spectrum is 1/f-like with a broad peak in the alpha/beta range (score 0.9, weight 0.3). Continuous data segments are fairly consistent (score 0.9, weight 0.1). No decisive artifact features. Brain scores are highest after normalization."
SavedFiles/0161_VD_noaudio_ICA.set,25,brain,brain,0.8,"Topography is dipolar, possibly temporal/parietal (score 0.9, weight 0.3). Time series is rhythmic and smooth (score 0.7, weight 0.3). Power spectrum is 1/f-like with peaks in the alpha/beta range (score 0.9, weight 0.3). Continuous data segments are consistent (score 0.9, weight 0.1). No decisive artifact features. Brain scores are highest after normalization."
SavedFiles/0206_VDaudio_ICA.set,1,heart,eye,0.95,"Topography is a strong periocular dipole (anterior, Fp1/Fp2), time series shows step-like/blink events, power spectrum is low-frequency dominant, and ERP image shows movement-related activity. Decisive periocular topography and time series."
SavedFiles/0206_VDaudio_ICA.set,3,eye,brain,0.87,"Topography is dipolar and central, time series is rhythmic, power spectrum is 1/f with a peak, and ERP image is oscillatory. All features fit brain, no decisive artifact features."
SavedFiles/0206_VDaudio_ICA.set,4,eye,other_artifact,0.7,"Topography is complex/multipolar, time series is mixed, power spectrum is not clearly brain/eye/muscle, and ERP image is sporadic/complex. No decisive features, but multipolar topography and mixed patterns suggest artifact."
SavedFiles/0206_VDaudio_ICA.set,15,muscle,muscle,0.91,"Topography is edge-focused, time series is spiky/erratic, power spectrum has a clear positive slope (decisive muscle feature), and ERP image shows sporadic high-frequency bursts. Decisive muscle spectrum."
SavedFiles/0206_VDaudio_ICA.set,39,other_artifact,brain,0.85,"Topography: Dipolar, central-parietal (score=0.9, weight=0.3). Time series: Rhythmic, wave-like (score=0.9, weight=0.3). Power spectrum: 1/f with peak in alpha range (score=0.9, weight=0.3). Segments: Consistent oscillatory (score=0.9, weight=0.1). All features support brain, high normalized score."
SavedFiles/0206_VDaudio_ICA.set,53,channel_noise,brain,0.88,"Topography is central dipolar, time series is rhythmic and smooth, power spectrum is 1/f with a peak in the alpha range, and ERP image is oscillatory. All features fit brain, no decisive artifact features."
SavedFiles/0206_VDaudio_ICA.set,55,other_artifact,muscle,0.9,"Topography: Focal spot near edge (score=0.5, weight=0.2). Time series: High-frequency, erratic (score=0.8, weight=0.2). Power spectrum: Clear positive slope above 20Hz (score=0.95, weight=0.5, decisive). Segments: Sporadic bursts (score=0.8, weight=0.1). Decisive muscle spectrum triggers high confidence."
SavedFiles/0206_VDaudio_ICA.set,63,channel_noise,eye,0.93,"Topography is periocular/anterior, time series shows slow blinks/steps, power spectrum is low-frequency dominant, and ERP image shows movement-related activity. Decisive periocular topography and time series."
SavedFiles/0206_VDaudio_ICA.set,68,channel_noise,muscle,0.92,"Topography is edge-focused, time series is spiky/erratic, power spectrum has a clear positive slope (decisive muscle feature), and ERP image shows sporadic high-frequency bursts. Decisive muscle spectrum."
SavedFiles/0206_VDaudio_ICA.set,77,muscle,eye,0.93,"Topography: Strong dipolar periocular pattern (score=0.95, weight=0.4). Time series: Large, slow, step-like deflection (score=0.9, weight=0.3). Power spectrum: Dominant low-frequency (1-5Hz) with 1/f drop (score=0.8, weight=0.2). Segments: Movement-related (score=0.8, weight=0.1). Eye scores dominate, normalization yields high confidence."
SavedFiles/0206_VDaudio_ICA.set,91,other_artifact,muscle,0.9,"Topography: Edge-focused, shallow dipole near temporal (score=0.6, weight=0.2). Time series: Spiky, erratic, high-frequency (score=0.8, weight=0.2). Power spectrum: Positive slope above 20Hz (score=0.95, weight=0.5, decisive). Segments: Sporadic bursts (score=0.8, weight=0.1). Decisive muscle spectrum triggers high confidence."
SavedFiles/0206_VDaudio_ICA.set,93,eye,brain,0.86,"Topography is dipolar and central, time series is smooth/rhythmic, power spectrum is 1/f with a peak, and ERP image is oscillatory. All features fit brain, no decisive artifact features."
SavedFiles/0206_VDaudio_ICA.set,103,channel_noise,brain,0.85,"Topography is dipolar and central, time series is smooth/rhythmic, power spectrum is 1/f with a peak, and ERP image is oscillatory. No decisive artifact features."
SavedFiles/0206_VDaudio_ICA.set,105,other_artifact,brain,0.8,"Topography: Dipolar, central (score=0.9, weight=0.3). Time series: Smooth, no spikes (score=0.7, weight=0.3). Power spectrum: 1/f-like, no strong high-frequency slope (score=0.7, weight=0.3). Segments: Consistent oscillatory (score=0.9, weight=0.1). Brain scores dominate after normalization."
SavedFiles/0206_VDnoaudio_ICA.set,1,heart,heart,1.0,Time series shows regular ~1Hz deflections; continuous data segments show regular vertical bands; topography is not relevant for heart; power spectrum is 1/f-like. Decisive heart feature (time series and segments) triggers override.
SavedFiles/0206_VDnoaudio_ICA.set,2,heart,heart,1.0,"Time series and continuous segments show clear, regular ~1Hz deflections and bands. Topography and spectrum are not relevant. Decisive heart feature triggers override."
SavedFiles/0206_VDnoaudio_ICA.set,18,eye,brain,0.87,"Topography is dipolar, central; time series is rhythmic/wave-like; power spectrum is 1/f-like with peaks; continuous segments are oscillatory. All features support brain."
SavedFiles/0206_VDnoaudio_ICA.set,24,channel_noise,muscle,0.9,"Topography is edge-focused (muscle or artifact); time series is erratic; power spectrum shows a positive slope (muscle, decisive, weight 0.5); continuous segments show sporadic high-frequency bursts. Decisive muscle spectrum triggers high confidence."
SavedFiles/0206_VDnoaudio_ICA.set,32,brain,line_noise,0.97,"Topography is not informative for line noise (0.0). Time series is random (0.0). Power spectrum shows a sharp peak at ~50Hz (0.95*0.9=0.855 for line_noise, decisive). Continuous segments are noisy (0.3*0.1=0.03 for line_noise). Line_noise raw score: 0.885. By priority rule, line_noise is set to 1.0, others to 0.0. Normalized and confidence set to max(0.9, 0.97) due to decisive spectrum. Classic line noise IC."
SavedFiles/0206_VDnoaudio_ICA.set,35,channel_noise,muscle,0.9,"Topography is edge-focused (muscle/artifact); time series is erratic; power spectrum shows a positive slope (muscle, decisive, weight 0.5); continuous segments show sporadic high-frequency bursts. Decisive muscle spectrum triggers high confidence."
SavedFiles/0206_VDnoaudio_ICA.set,58,channel_noise,channel_noise,0.93,"Topography shows a single focal spot (high channel_noise score, weight 0.5); time series is random/flat; power spectrum is noisy/artifactual; continuous segments are random/flat. All features support channel noise."
SavedFiles/0206_VDnoaudio_ICA.set,74,muscle,muscle,0.9,"Topography is a single focal spot (0.95*0.2=0.19 for muscle, but also 0.95*0.5=0.475 for channel_noise). Time series is spiky and erratic (0.8*0.2=0.16 for muscle). Power spectrum shows a clear positive slope from high frequencies (0.95*0.5=0.475 for muscle, decisive). Continuous segments show sporadic high-frequency bursts (0.8*0.1=0.08 for muscle). Muscle raw score: 0.19+0.16+0.475+0.08=0.915. Channel_noise raw: 0.475+0.16+0.06+0.08=0.775. Muscle is prioritized due to decisive positive slope in spectrum. Normalized muscle: 0.90. High confidence due to decisive spectrum."
SavedFiles/0206_VDnoaudio_ICA.set,81,eye,eye,0.88,Topography is periocular/anterior dipole (eye); time series shows step-like/blink patterns; power spectrum is low frequency; continuous segments show movement-related bands. All features support eye.
