set_path,component_index,true_label_norm,predicted_label,confidence,reason
SavedFiles/0137_VDAudio_ICA.set,1,heart,heart,1.0,"Stereotyped sharp deflections recur at approximately cardiac intervals in the time series, satisfying the decisive heart criterion."
SavedFiles/0137_VDAudio_ICA.set,5,heart,eye,0.43,"Broad anterior-to-posterior scalp gradient, dominant low-frequency 1/f spectrum, and large slow/transient activation changes are most consistent with ocular activity."
SavedFiles/0137_VDAudio_ICA.set,23,muscle,muscle,0.9,"Localized frontal/edge activity, erratic high-frequency activation, and an upward high-frequency spectral trend meet the decisive positive-slope muscle criterion."
SavedFiles/0137_VDAudio_ICA.set,39,muscle,channel_noise,0.42,"A tiny, highly focal right-sided scalp feature combined with irregular bursty activation is more compatible with a noisy channel than a spatially extended neural source."
SavedFiles/0137_VDAudio_ICA.set,53,channel_noise,channel_noise,0.39,The topography is dominated by a very small isolated central focal spot rather than a physiological dipole; the activation contains irregular large transients.
SavedFiles/0137_VDAudio_ICA.set,66,muscle,other_artifact,0.36,"A localized irregular right frontal-temporal pattern with intermittent sharp transients is artifact-like, but its spectrum lacks the decisive sustained positive slope expected for muscle."
SavedFiles/0161_VD_audio_ICA.set,6,heart,heart,1.0,"Highly stereotyped, regularly recurring sharp deflections in the time series (with corresponding repeated segment events) meet the decisive cardiac-pattern rule."
SavedFiles/0161_VD_audio_ICA.set,16,heart,brain,0.29,"Broad posterior/central dipolar topography and a 1/f-like spectrum favor brain activity, though the activation contains abrupt transients and segments are not strongly oscillatory."
SavedFiles/0161_VD_audio_ICA.set,18,eye,other_artifact,0.32,"The broad anterior-to-posterior pattern extends beyond periocular electrodes, while noisy irregular activation and complex segment structure do not support a clean eye or brain classification."
SavedFiles/0161_VD_audio_ICA.set,25,eye,other_artifact,0.33,Irregular frontal/edge-weighted topography with erratic activation and sporadic segment events is most consistent with mixed/other artifact; no decisive muscle or line-noise spectrum is present.
SavedFiles/0161_VD_audio_ICA.set,33,eye,eye,0.43,"Dominant anterior/frontal scalp distribution, transient blink-like deflections, and low-frequency 1/f-dominated power support an ocular component."
SavedFiles/0161_VD_noaudio_ICA.set,1,heart,other_artifact,0.4,"Irregular, non-dipolar scalp map with abrupt isolated activation transients and sporadic complex segment structure; spectrum is broadly 1/f-like but does not outweigh the artifact-like spatial and temporal features."
SavedFiles/0161_VD_noaudio_ICA.set,6,brain,brain,0.45,"Localized central scalp maximum with a surrounding opposite-polarity field and a 1/f-like spectrum with low-frequency structure are most consistent with a brain component, despite noisy activations."
SavedFiles/0161_VD_noaudio_ICA.set,11,heart,brain,0.43,"Broad central/parietal dipolar distribution and a strongly decreasing 1/f-like spectrum support neural activity; the activation is somewhat noisy, reducing confidence."
SavedFiles/0161_VD_noaudio_ICA.set,25,brain,other_artifact,0.39,"Asymmetric, irregular left temporal/frontal focal topography with erratic activation and complex segment appearance suggests a non-neural artifact; no decisive high-frequency positive spectral slope supports muscle."
SavedFiles/0206_VDaudio_ICA.set,1,heart,brain,0.52,Broad posterior/occipital dipolar field and a 1/f-like spectrum with low-to-mid-frequency structure support neural activity; no decisive artifact signature.
SavedFiles/0206_VDaudio_ICA.set,3,eye,eye,0.74,Clear opposing bilateral anterior/periocular poles and large slow movement-like deflections strongly indicate horizontal eye movement activity.
SavedFiles/0206_VDaudio_ICA.set,4,eye,eye,0.58,Broad bilateral anterior/frontal distribution with slow transient shifts and low-frequency-dominant 1/f spectrum is consistent with ocular activity.
SavedFiles/0206_VDaudio_ICA.set,15,muscle,muscle,0.9,Erratic high-frequency activation and a clear upward high-frequency spectral slope meet the decisive muscle-spectrum criterion.
SavedFiles/0206_VDaudio_ICA.set,39,other_artifact,brain,0.55,"Posterior midline dipolar distribution, smooth rhythmic low-frequency activity, and a 1/f-like spectrum support a neural component."
SavedFiles/0206_VDaudio_ICA.set,53,channel_noise,channel_noise,0.72,"A tiny, isolated frontopolar focal spot without a meaningful opposite pole, plus irregular activation, is characteristic of a noisy channel."
SavedFiles/0206_VDaudio_ICA.set,55,other_artifact,channel_noise,0.43,"Single sharp left-temporal edge focal spot without a convincing opposing pole, plus erratic activations, is most consistent with channel noise."
SavedFiles/0206_VDaudio_ICA.set,63,channel_noise,channel_noise,0.68,"Highly localized right temporal-edge focus with abrupt, non-oscillatory activity and isolated segment events indicates channel noise."
SavedFiles/0206_VDaudio_ICA.set,68,channel_noise,channel_noise,0.66,"The component is dominated by a single left temporal-edge focal source and erratic activation, without the spectral slope required for muscle."
SavedFiles/0206_VDaudio_ICA.set,77,muscle,eye,0.52,"Anterior/periocular dipolar scalp pattern with large slow, blink-like deflections and dominant low-frequency 1/f power."
SavedFiles/0206_VDaudio_ICA.set,91,other_artifact,channel_noise,0.39,A highly localized inferior-left focal map and irregular activation favor an electrode-related artifact; the spectrum lacks the positive high-frequency slope required for muscle.
SavedFiles/0206_VDaudio_ICA.set,93,eye,channel_noise,0.7,Single compact left frontal-edge focus with irregular spiky activation and no coherent dipolar neural field supports channel noise.
SavedFiles/0206_VDaudio_ICA.set,103,channel_noise,channel_noise,0.69,"A compact isolated right temporal focal spot, random time course, and sporadic image events favor channel noise."
SavedFiles/0206_VDaudio_ICA.set,105,other_artifact,other_artifact,0.36,Complex focal multi-polar inferior-central topography with irregular activation is not a clean neural dipole or isolated single-channel artifact.
SavedFiles/0206_VDnoaudio_ICA.set,1,heart,heart,1.0,"Regular, stereotyped large deflections recur throughout the time series and form repeating bands in the segment image; the decisive cardiac temporal pattern overrides the non-diagnostic topography and spectrum."
SavedFiles/0206_VDnoaudio_ICA.set,2,heart,heart,1.0,Shows the same highly regular repeating transient pattern and aligned segment-image bands as a cardiac component; decisive rhythmic cardiac activity dominates.
SavedFiles/0206_VDnoaudio_ICA.set,18,eye,channel_noise,0.48,"A highly localized right-frontal focal extremum without a clear opposite pole, combined with irregular activity and segment outliers, indicates channel noise."
SavedFiles/0206_VDnoaudio_ICA.set,24,channel_noise,channel_noise,0.48,"A compact isolated frontocentral focal spot plus random, non-rhythmic activity and noisy segments is most consistent with channel-specific noise."
