set_path,component_index,true_label_norm,predicted_label,confidence,reason
SavedFiles/0137_VDAudio_ICA.set,1,heart,eye,0.95,"Scalp map is strongly frontal, time series shows large slow deflections typical of blinks, and power spectrum is dominated by low frequencies (<5 Hz). All panels converge on eye artifact."
SavedFiles/0137_VDAudio_ICA.set,5,heart,muscle,0.85,"Scalp map is edge-focused and temporal, time series is spiky/erratic, and the power spectrum is relatively flat with elevated high-frequency power above 20 Hz. Consistent with muscle artifact."
SavedFiles/0137_VDAudio_ICA.set,23,muscle,muscle,0.8,"Scalp map is edge-focused and non-dipolar, time series is erratic and spiky, and the power spectrum is relatively flat with elevated high-frequency power. Consistent with muscle artifact."
SavedFiles/0137_VDAudio_ICA.set,39,muscle,brain,0.7,"Scalp map is plausible for a brain source (central/parietal), time series is not highly erratic, and the spectrum shows 1/f decay. Some ambiguity due to possible noise, but overall fits brain."
SavedFiles/0137_VDAudio_ICA.set,53,channel_noise,brain,0.9,"Scalp map is dipolar and central, time series is smooth with rhythmic activity, ERP image shows consistent pattern, and spectrum shows 1/f decay with a peak around 10 Hz (alpha). Strong evidence for brain."
SavedFiles/0137_VDAudio_ICA.set,66,muscle,muscle,0.8,"Scalp map is edge/temporal, time series is bursty and irregular, and the spectrum is flat with high-frequency power. All panels suggest muscle artifact."
SavedFiles/0161_VD_audio_ICA.set,6,heart,eye,0.9,"Scalp map is strongly frontal, time series shows large slow deflections consistent with blinks, and power is concentrated below 5 Hz. All panels converge on eye/blink artifact."
SavedFiles/0161_VD_audio_ICA.set,16,heart,heart,0.95,"Time series shows regular, sharp QRS-like deflections at ~1 Hz; scalp map is broad and diffuse, consistent with a distant cardiac source. Spectrum is not the main evidence, but the regular rhythm is decisive for heart."
SavedFiles/0161_VD_audio_ICA.set,18,eye,brain,0.8,"Scalp map is roughly dipolar and central, spectrum shows 1/f decay with possible alpha peak, and time series is smoother without obvious artifact structure. Consistent with brain source."
SavedFiles/0161_VD_audio_ICA.set,25,eye,brain,0.8,"Scalp map is dipolar and central, spectrum shows 1/f decay, and time series is smooth and rhythmic. No evidence for artifact, consistent with brain."
SavedFiles/0161_VD_audio_ICA.set,33,eye,eye,0.85,"Scalp map is frontal with a left-right polarity, time series shows step-like changes and saccade-like transitions, and spectrum is low-frequency dominant. Consistent with horizontal eye movement."
SavedFiles/0161_VD_noaudio_ICA.set,1,heart,brain,0.9,"Scalp map is dipolar and central, not frontal or edge-focused. Spectrum shows 1/f falloff with a possible alpha peak around 10 Hz. Time series is smooth, not blink- or muscle-like. No evidence for artifact."
