set_path,component_index,true_label_norm,predicted_label,confidence,reason
SavedFiles/0137_VDAudio_ICA.set,0,eye,eye,0.98,"Strong bilateral frontal topography, large slow blink-like deflections, and power concentrated at very low frequencies."
SavedFiles/0137_VDAudio_ICA.set,1,heart,heart,0.96,"Regular sharp QRS-like deflections recur throughout the trace and segment image, with a broad distant-source scalp gradient."
SavedFiles/0137_VDAudio_ICA.set,2,eye,eye,0.91,"Left-right frontal polarity and large slow, step-like fluctuations are characteristic of horizontal eye movements."
SavedFiles/0137_VDAudio_ICA.set,3,brain,brain,0.86,Plausible posterior dipolar map with a generally decaying spectrum and a mid-frequency rhythmic peak.
SavedFiles/0137_VDAudio_ICA.set,4,brain,brain,0.72,Broad lateral dipolar topology and mostly 1/f-like spectrum with low-to-mid-frequency peaks support a neural source.
SavedFiles/0137_VDAudio_ICA.set,5,heart,heart,0.82,Repeated sharp deflections at roughly regular intervals and a broad anterior-posterior gradient suggest cardiac activity.
SavedFiles/0137_VDAudio_ICA.set,6,muscle,channel_noise,0.97,"Scalp map is dominated by an unmistakable isolated electrode island, accompanied by noisy broadband activity."
SavedFiles/0137_VDAudio_ICA.set,7,brain,brain,0.84,Smooth central dipolar map and decaying spectrum with a low-frequency rhythmic peak are consistent with brain activity.
SavedFiles/0137_VDAudio_ICA.set,8,brain,brain,0.88,Clear posterior dipolar source with a smoothly decreasing 1/f-like spectrum and no decisive artifact signature.
SavedFiles/0137_VDAudio_ICA.set,9,brain,brain,0.86,Smooth central-parietal dipolar map with a strongly decreasing 1/f-like spectrum and no clear artifact pattern.
SavedFiles/0137_VDAudio_ICA.set,10,muscle,muscle,0.91,"Focal left temporal edge map, noisy activity, and elevated broad high-frequency power strongly indicate muscle."
SavedFiles/0137_VDAudio_ICA.set,11,muscle,muscle,0.94,Right temporal edge-focused source with spiky activity and a flat-to-rising high-frequency spectrum.
SavedFiles/0137_VDAudio_ICA.set,12,muscle,muscle,0.82,Focal left frontal-temporal map and bursty time series accompany substantial broad high-frequency power.
SavedFiles/0137_VDAudio_ICA.set,13,muscle,muscle,0.95,Inferior left temporal edge localization and a clearly rising high-frequency spectrum are characteristic of muscle.
SavedFiles/0137_VDAudio_ICA.set,14,brain,brain,0.74,Broad smooth anterior-posterior topology and decreasing 1/f-like spectrum favor a neural source despite the somewhat unusual bilateral map.
SavedFiles/0137_VDAudio_ICA.set,15,muscle,muscle,0.92,"Left temporal edge dipole, irregular time course, and persistently elevated high-frequency power indicate muscle."
SavedFiles/0137_VDAudio_ICA.set,16,brain,brain,0.84,"Smooth central dipolar scalp distribution with a falling spectrum and no decisive ocular, cardiac, or muscle signature."
SavedFiles/0137_VDAudio_ICA.set,17,muscle,muscle,0.88,Focal left temporal source with noisy activity and broadly elevated high-frequency spectral power.
SavedFiles/0137_VDAudio_ICA.set,18,muscle,channel_noise,0.86,"Topography is dominated by a very sharp, isolated right-frontal electrode island with little meaningful spatial structure elsewhere."
SavedFiles/0137_VDAudio_ICA.set,19,muscle,muscle,0.84,"Right temporal edge-focused map, erratic time series, and elevated broadband high-frequency power strongly suggest muscle activity."
SavedFiles/0137_VDAudio_ICA.set,20,brain,brain,0.78,Posterior dipolar scalp distribution and a generally falling spectrum with a broad low-frequency peak are compatible with a neural source.
SavedFiles/0137_VDAudio_ICA.set,21,muscle,muscle,0.82,"Focal right-temporal map, burst-like transients, and increasing high-frequency spectral power favor muscle artifact."
SavedFiles/0137_VDAudio_ICA.set,22,muscle,channel_noise,0.83,"The map shows a compact, nearly single-electrode frontal island without a convincing opposite pole or broad dipolar field."
SavedFiles/0137_VDAudio_ICA.set,23,muscle,eye,0.91,"Strong frontal distribution, large slow blink-like deflection, and dominant low-frequency power are characteristic of ocular activity."
SavedFiles/0137_VDAudio_ICA.set,24,brain,other_artifact,0.69,"The scalp map is broad and non-dipolar with mixed spatial structure, while the remaining panels lack a decisive signature for a specific class."
SavedFiles/0137_VDAudio_ICA.set,25,muscle,muscle,0.78,Small frontal edge-focused source with bursty activity and a flat-to-rising high-frequency spectrum is most consistent with muscle.
SavedFiles/0137_VDAudio_ICA.set,26,muscle,muscle,0.86,"Right temporal edge-localized dipole, noisy irregular activity, and sustained broadband high-frequency power strongly favor muscle."
SavedFiles/0137_VDAudio_ICA.set,27,brain,other_artifact,0.62,"Spectrum has a clean low-frequency decay, but the broad central basin with peripheral polarity is not a convincing dipolar brain map."
SavedFiles/0137_VDAudio_ICA.set,28,muscle,muscle,0.91,"Frontal edge-focused topology, erratic sharp transients, and a spectrum that rises into a broad high-frequency plateau strongly indicate muscle."
SavedFiles/0137_VDAudio_ICA.set,29,muscle,channel_noise,0.88,The scalp map is dominated by a tiny isolated frontal electrode island without a meaningful opposite pole.
SavedFiles/0137_VDAudio_ICA.set,30,muscle,muscle,0.94,A shallow left-frontal local dipole accompanies spiky activity and strong broad power above 20 Hz.
SavedFiles/0137_VDAudio_ICA.set,31,muscle,muscle,0.93,"The frontal edge dipole, noisy time course, and elevated broad high-frequency spectrum are characteristic of facial muscle."
SavedFiles/0137_VDAudio_ICA.set,32,eye,eye,0.96,"Broad frontal/periocular loading, very large slow deflections, and strongly low-frequency-dominant power indicate ocular activity."
SavedFiles/0137_VDAudio_ICA.set,33,muscle,channel_noise,0.84,"A sharply confined left-frontal single-electrode hotspot dominates the map, consistent with an isolated noisy channel."
SavedFiles/0137_VDAudio_ICA.set,34,muscle,muscle,0.93,"The compact right-frontal dipole, bursty waveform, and flat-to-rising high-frequency power strongly support muscle."
SavedFiles/0137_VDAudio_ICA.set,36,eye,eye,0.94,The broad anterior-posterior ocular field and large smooth slow waves with predominantly low-frequency power suggest vertical eye movement or slow blinks.
SavedFiles/0137_VDAudio_ICA.set,37,brain,brain,0.84,"Broad, plausible central dipolar map with a smoothly decreasing 1/f-like spectrum and no decisive artifact pattern."
SavedFiles/0137_VDAudio_ICA.set,38,brain,brain,0.68,"Mostly smooth central distribution with an opposing lateral pole and a generally decreasing spectrum, though the topology is somewhat irregular."
SavedFiles/0137_VDAudio_ICA.set,39,muscle,channel_noise,0.97,Scalp map is dominated by an unmistakable isolated right-sided electrode island with essentially no broad spatial field.
SavedFiles/0137_VDAudio_ICA.set,40,muscle,muscle,0.96,"Edge-localized temporal dipole, spiky bursts, and a spectrum that rises strongly toward high frequencies indicate muscle activity."
SavedFiles/0137_VDAudio_ICA.set,42,muscle,muscle,0.96,"Focal frontal-temporal edge map, sharp transient bursts, and pronounced high-frequency spectral power are characteristic of muscle."
SavedFiles/0137_VDAudio_ICA.set,43,muscle,eye,0.72,Left frontal/periocular topology and strongly low-frequency-dominant power with slow segment-level shifts favor ocular activity.
SavedFiles/0137_VDAudio_ICA.set,44,muscle,muscle,0.91,"Inferior posterior edge focus, bursty time-series activity, and relatively flat elevated high-frequency power support neck muscle."
SavedFiles/0137_VDAudio_ICA.set,45,muscle,muscle,0.92,Strong posterior-temporal edge localization with a high-amplitude burst and flattened high-frequency spectrum indicates muscle.
SavedFiles/0137_VDAudio_ICA.set,46,brain,brain,0.79,Smooth broad dipolar scalp field and steadily decreasing 1/f-like spectrum are compatible with a neural source.
SavedFiles/0137_VDAudio_ICA.set,50,muscle,muscle,0.86,"Strong temporal-edge dipole with noisy, erratic activity and a relatively flat high-frequency spectral tail."
SavedFiles/0137_VDAudio_ICA.set,51,other_artifact,eye,0.91,"Frontal topography, large slow blink/saccade-like deflections, and strongly low-frequency-dominant power."
SavedFiles/0137_VDAudio_ICA.set,53,channel_noise,other_artifact,0.66,Compact non-dipolar central focus with slow irregular shifts; it is not clearly an isolated single-electrode source.
SavedFiles/0137_VDAudio_ICA.set,54,other_artifact,eye,0.87,Broad frontal focus with large abrupt slow deflections and power concentrated at very low frequencies.
SavedFiles/0137_VDAudio_ICA.set,56,other_artifact,muscle,0.73,"Temporal-edge source with highly erratic activity and substantial high-frequency power, including several narrow peaks."
SavedFiles/0137_VDAudio_ICA.set,58,muscle,other_artifact,0.58,"Small anterior multipolar map and irregular activity without a decisive blink, isolated-channel, or broadband muscle signature."
SavedFiles/0137_VDAudio_ICA.set,59,muscle,muscle,0.82,"Localized temporal dipole, noisy spiky activity, and a flattened high-frequency spectrum favor muscle."
SavedFiles/0137_VDAudio_ICA.set,61,brain,other_artifact,0.63,Broad diffuse non-dipolar topology with noisy irregular activity and no clear rhythmic cardiac or ocular pattern.
SavedFiles/0137_VDAudio_ICA.set,62,muscle,muscle,0.94,"Temporal focal map, rapid erratic time course, and a strongly rising high-frequency spectrum are characteristic of muscle."
SavedFiles/0137_VDAudio_ICA.set,63,muscle,muscle,0.71,"Focal frontal-edge dipole with irregular, spiky activity and appreciable broadband power; the map is not an isolated single-electrode island."
SavedFiles/0137_VDAudio_ICA.set,65,eye,other_artifact,0.68,"Splotchy multipolar edge topology with irregular activity; there is no convincing blink/saccade pattern, isolated bad channel, or clear high-frequency muscle spectrum."
SavedFiles/0137_VDAudio_ICA.set,66,muscle,muscle,0.78,"Localized frontal-temporal edge source with prominent bursty spikes and a relatively irregular broadband spectrum, consistent with facial or temporal muscle."
SavedFiles/0137_VDAudio_ICA.set,69,brain,other_artifact,0.64,"Broad, complex left-right topology and noisy activity provide mixed evidence without clear eye steps, cardiac periodicity, line-frequency peak, or a plausible focal brain dipole."
SavedFiles/0161_VD_audio_ICA.set,0,eye,eye,0.96,"Strong bilateral frontal topography, large slow repetitive deflections, and power concentrated at very low frequencies indicate blinks."
SavedFiles/0161_VD_audio_ICA.set,1,eye,eye,0.95,Opposite left-right frontal polarities with slow step-like deflections are characteristic of horizontal eye movements.
SavedFiles/0161_VD_audio_ICA.set,2,eye,eye,0.82,Frontal/periocular topography and low-frequency-dominant spectrum favor ocular activity despite the relatively noisy time series.
SavedFiles/0161_VD_audio_ICA.set,3,brain,brain,0.78,Smooth anterior-posterior dipolar map and broadly decreasing 1/f-like spectrum are consistent with a neural source.
SavedFiles/0161_VD_audio_ICA.set,4,brain,brain,0.74,Broad central-posterior dipolar distribution and decaying spectrum support brain activity without a decisive artifact signature.
SavedFiles/0161_VD_audio_ICA.set,5,muscle,muscle,0.98,"Focal temporal-edge topography, erratic activity, and strongly elevated broad high-frequency power clearly indicate muscle."
SavedFiles/0161_VD_audio_ICA.set,6,heart,heart,0.99,"Large sharp deflections recur regularly at approximately one-second intervals, providing a decisive ECG/QRS signature."
SavedFiles/0161_VD_audio_ICA.set,7,muscle,muscle,0.97,"Edge-focused temporal topology, bursty high-frequency time series, and flat-to-rising high-frequency power indicate muscle."
SavedFiles/0161_VD_audio_ICA.set,8,eye,eye,0.91,"Strong frontal topography, a large slow transient, and power overwhelmingly concentrated below about 5 Hz indicate ocular activity."
SavedFiles/0161_VD_audio_ICA.set,9,eye,eye,0.91,Strong bilateral frontal topography with low-frequency-dominant power and large slow activity bursts is characteristic of ocular activity.
SavedFiles/0161_VD_audio_ICA.set,11,muscle,muscle,0.93,"Shallow right-temporal dipole, erratic time series, and pronounced broadband high-frequency power strongly indicate muscle."
SavedFiles/0161_VD_audio_ICA.set,12,muscle,muscle,0.94,Focal temporal-edge topology and a flat-to-rising spectrum above roughly 20 Hz are characteristic of muscle activity.
SavedFiles/0161_VD_audio_ICA.set,13,muscle,muscle,0.96,"Right-temporal focal map, high-frequency burst in the time series, and strongly elevated high-frequency spectrum indicate muscle."
SavedFiles/0161_VD_audio_ICA.set,14,muscle,channel_noise,0.88,"The scalp map is dominated by a very small isolated electrode-centered island with minimal spatial spread, consistent with a bad channel."
SavedFiles/0161_VD_audio_ICA.set,15,eye,eye,0.96,"Broad bilateral frontal maximum, large slow deflections, and power concentrated at low frequencies strongly support ocular activity."
SavedFiles/0161_VD_audio_ICA.set,16,heart,heart,0.98,"The time series contains highly regular sharp QRS-like deflections, while the broad scalp gradient is consistent with a distant cardiac source."
SavedFiles/0161_VD_audio_ICA.set,17,brain,brain,0.72,"The map is broadly dipolar rather than isolated or edge-focal, and the spectrum shows a generally physiological 1/f-like decline without broadband high-frequency elevation."
SavedFiles/0161_VD_audio_ICA.set,18,eye,eye,0.86,"Strong frontal midline topography, slow irregular deflections, and predominantly low-frequency power are most consistent with ocular activity."
SavedFiles/0161_VD_audio_ICA.set,19,muscle,muscle,0.94,"Strong right posterior-temporal edge focus with elevated, relatively flat high-frequency power and irregular activity."
SavedFiles/0161_VD_audio_ICA.set,20,muscle,muscle,0.89,"Right frontal-edge localization, erratic time course, and a spectrum that rises again toward higher frequencies."
SavedFiles/0161_VD_audio_ICA.set,23,muscle,muscle,0.91,Small frontal-temporal local dipole with spiky activity and broadly increasing power above about 20 Hz.
SavedFiles/0161_VD_audio_ICA.set,24,brain,brain,0.78,"Broad, reasonably dipolar midline scalp pattern with smooth 1/f-like spectral decay and no decisive artifact signature."
SavedFiles/0161_VD_audio_ICA.set,25,eye,brain,0.68,"Broad anterior-posterior dipolar pattern and steadily declining spectrum; activity lacks clear blink, cardiac, or high-frequency muscle structure."
SavedFiles/0161_VD_audio_ICA.set,26,muscle,muscle,0.96,Clear right temporal-edge dipole with irregular spikes and strongly elevated high-frequency spectral power.
SavedFiles/0161_VD_audio_ICA.set,27,muscle,muscle,0.9,Highly focal but multi-site right frontal-temporal pattern with bursts and a pronounced high-frequency spectral rise.
SavedFiles/0161_VD_audio_ICA.set,28,muscle,eye,0.97,Frontal/periocular focus with repeated large slow deflections and power strongly concentrated at low frequencies.
SavedFiles/0161_VD_audio_ICA.set,29,muscle,eye,0.89,"Broad frontal asymmetric gradient with slow, interval-like deflections and a strongly low-frequency-dominant spectrum."
SavedFiles/0161_VD_audio_ICA.set,30,muscle,muscle,0.94,"Strong temporal-edge focality, erratic spikes, and broad elevated high-frequency power indicate muscle rather than an isolated bad channel."
SavedFiles/0161_VD_audio_ICA.set,31,muscle,muscle,0.95,Lateral temporal-edge hotspot and a flat-to-rising high-frequency spectrum strongly support muscle activity.
SavedFiles/0161_VD_audio_ICA.set,32,muscle,eye,0.78,"Right frontal/periocular topography, slow large deflections, and strongly low-frequency-dominant power are consistent with ocular activity."
SavedFiles/0161_VD_audio_ICA.set,33,eye,eye,0.99,"Bilateral frontal topography, large blink-like slow deflections, and steep low-frequency spectral dominance clearly indicate eye activity."
SavedFiles/0161_VD_audio_ICA.set,34,muscle,muscle,0.91,"Posterior edge/neck focality, irregular bursty activity, and increasing broadband high-frequency power strongly indicate muscle."
SavedFiles/0161_VD_noaudio_ICA.set,0,eye,eye,0.98,"Strong bilateral frontal topography, large slow blink-like deflections, and dominant low-frequency power."
SavedFiles/0161_VD_noaudio_ICA.set,1,heart,heart,0.97,Regular narrow QRS-like deflections occur about once per second with a broad scalp gradient.
SavedFiles/0161_VD_noaudio_ICA.set,2,muscle,muscle,0.98,"Temporal edge-focused map, highly erratic activity, and broad elevated high-frequency power."
SavedFiles/0161_VD_noaudio_ICA.set,3,eye,eye,0.92,"Opposite-polarity frontal distribution and low-frequency, saccade-like activity indicate horizontal eye movement."
SavedFiles/0161_VD_noaudio_ICA.set,4,brain,brain,0.84,Smooth posterior scalp projection with a generally 1/f-like spectrum and no decisive artifact signature.
SavedFiles/0161_VD_noaudio_ICA.set,5,muscle,muscle,0.97,"Focal temporal dipole, noisy rapid activity, and a spectrum that rises strongly at higher frequencies."
SavedFiles/0161_VD_noaudio_ICA.set,6,brain,brain,0.72,"Smooth central projection and declining spectrum with low-to-mid-frequency structure support a neural source, though the topology is somewhat radial."
SavedFiles/0161_VD_noaudio_ICA.set,7,brain,brain,0.81,Broad smooth central dipolar pattern with a low-frequency spectral peak and overall 1/f-like decay.
SavedFiles/0161_VD_noaudio_ICA.set,8,brain,brain,0.86,Smooth right centrotemporal dipolar map and declining spectrum with a modest rhythmic peak are consistent with brain activity.
SavedFiles/0161_VD_noaudio_ICA.set,9,muscle,brain,0.82,Smooth posterior dipolar topography with a generally 1/f-like spectrum and no clear ocular or high-frequency artifact pattern.
SavedFiles/0161_VD_noaudio_ICA.set,10,muscle,muscle,0.94,Inferior edge-focused map and strongly elevated broad high-frequency power are characteristic of neck or jaw muscle activity.
SavedFiles/0161_VD_noaudio_ICA.set,11,heart,brain,0.78,"Broad, smooth left-right dipolar scalp distribution with clean spectral decay and no decisive artifact signature."
SavedFiles/0161_VD_noaudio_ICA.set,12,muscle,muscle,0.91,Highly localized temporal dipole with a flat-to-rising high-frequency spectrum strongly supports muscle activity.
SavedFiles/0161_VD_noaudio_ICA.set,13,brain,brain,0.79,"Plausible smooth central dipolar map and predominantly falling spectrum without blink, cardiac, or broadband muscle structure."
SavedFiles/0161_VD_noaudio_ICA.set,15,eye,eye,0.93,"Strong frontal topography, large slow step-like deflections, and power concentrated at low frequencies indicate ocular activity."
SavedFiles/0161_VD_noaudio_ICA.set,16,brain,brain,0.86,Smooth posterior-temporal dipolar map with steady 1/f-like spectral decay and relatively non-artifactual activity.
SavedFiles/0161_VD_noaudio_ICA.set,17,muscle,eye,0.87,Frontal/periocular edge maximum combines with large slow recurring deflections and dominant low-frequency power.
SavedFiles/0161_VD_noaudio_ICA.set,18,muscle,muscle,0.92,"Compact temporal edge dipole, spiky activity, and pronounced broadband high-frequency elevation are typical of muscle."
SavedFiles/0161_VD_noaudio_ICA.set,19,muscle,muscle,0.78,Edge-focused right frontal map with irregular burst-like activity and elevated broadband high-frequency power.
SavedFiles/0161_VD_noaudio_ICA.set,20,muscle,channel_noise,0.96,Topography is dominated by an unmistakable isolated right-temporal electrode island with essentially no smooth spatial field.
SavedFiles/0161_VD_noaudio_ICA.set,21,muscle,muscle,0.91,"Small right-temporal local dipole, erratic spikes, and a spectrum that rises broadly at higher frequencies indicate muscle activity."
SavedFiles/0161_VD_noaudio_ICA.set,22,channel_noise,channel_noise,0.93,A sharply isolated right posterior-temporal electrode and a very large abrupt electrode-pop-like transient strongly indicate channel noise.
