set_path,component_index,true_label_norm,strip_predicted_label,single_predicted_label,confidence,reason
SavedFiles/0137_VDAudio_ICA.set,1,heart,eye,eye,0.95,"The topography shows a strong frontal/periocular dipolar pattern, and the time series displays large, low-frequency deflections consistent with eye blinks or movements. The power spectrum is dominated by low frequencies, further supporting the classification as an eye-related artifact."
SavedFiles/0137_VDAudio_ICA.set,5,heart,brain,brain,0.85,"The topography shows a dipolar pattern centered over central/parietal regions. The power spectrum displays a 1/f shape with some peaks in the 6-35Hz range, and there is no evidence of low-frequency dominance, high-frequency muscle activity, or sharp line noise peaks. The time series and trial plots do not show rhythmic ~1Hz heart activity or isolated channel noise."
SavedFiles/0137_VDAudio_ICA.set,23,muscle,eye,eye,0.95,"The topography shows a strong frontal/periocular dipolar pattern, and the power spectrum is dominated by low frequencies, both of which are characteristic of eye-related artifacts (e.g., blinks or saccades)."
SavedFiles/0137_VDAudio_ICA.set,39,muscle,channel_noise,channel_noise,0.95,"The topography shows a single isolated focal spot without a clear dipolar pattern, and the power spectrum does not show typical brain, eye, muscle, heart, or line noise features. This is characteristic of channel noise."
SavedFiles/0137_VDAudio_ICA.set,53,channel_noise,eye,brain,0.9,"The topography shows a dipolar pattern centered over the central/parietal region. The power spectrum displays a 1/f distribution with no sharp peaks at 50/60Hz or high-frequency slopes, and no clear low-frequency dominance or edge-focused topography. There are no ~1Hz rhythmic deflections or isolated focal spots. These features are consistent with a brain component."
SavedFiles/0137_VDAudio_ICA.set,66,muscle,muscle,eye,0.95,"The topography shows a strong dipolar pattern focused frontally/periocular, which is characteristic of eye-related artifacts (e.g., blinks or saccades). The power spectrum is dominated by low frequencies, further supporting this classification."
SavedFiles/0161_VD_audio_ICA.set,6,heart,heart,brain,0.85,"The topography is central/parietal and dipolar, and the power spectrum shows a 1/f pattern with possible peaks in the 6-35Hz range, which are characteristic of brain-related ICA components."
SavedFiles/0161_VD_audio_ICA.set,16,heart,brain,brain,0.85,"The topography shows a dipolar pattern centered over central/parietal regions. The power spectrum displays a 1/f shape with no sharp peaks at 50/60Hz, and possible mild peaks in the 6-35Hz range. There is no evidence of low-frequency dominance (eye), high-frequency slope (muscle), or rhythmic ~1Hz activity (heart). The component fits the typical characteristics of a brain-related ICA component."
SavedFiles/0161_VD_audio_ICA.set,18,eye,brain,eye,0.95,"The topography shows a strong dipolar pattern focused frontally, which is characteristic of eye-related artifacts (e.g., blinks or saccades). The power spectrum is dominated by low frequencies, further supporting the classification as an eye artifact."
SavedFiles/0161_VD_audio_ICA.set,25,eye,eye,eye,0.95,"The topography shows a strong frontal/periocular dipolar pattern, and the power spectrum is dominated by low frequencies, both of which are characteristic of eye-related artifacts (e.g., blinks or saccades)."
SavedFiles/0161_VD_audio_ICA.set,33,eye,eye,eye,0.95,"The topography shows a strong frontal dipolar pattern, which is characteristic of eye-related artifacts (e.g., blinks or saccades). The power spectrum is dominated by low frequencies, and the time series shows slow, large deflections, further supporting the classification as an eye artifact."
SavedFiles/0161_VD_noaudio_ICA.set,1,heart,brain,brain,0.85,"The topography shows a dipolar pattern centered over central/parietal regions. The power spectrum exhibits a 1/f shape with peaks in the 6-12 Hz range, and no sharp line noise or muscle-dominated high-frequency slope. The time series and trial segments do not show rhythmic heart or eye movement artifacts."
SavedFiles/0161_VD_noaudio_ICA.set,6,brain,brain,brain,0.95,"The component shows a dipolar central topography, a 1/f spectral shape with peaks in the 6-35Hz range, and no signs of artifact patterns such as eye, muscle, heart, line noise, or channel noise. The time series and trial segments are consistent with neural activity."
SavedFiles/0161_VD_noaudio_ICA.set,11,heart,brain,brain,0.85,"The topography shows a dipolar pattern centered over central/parietal regions. The power spectrum displays a 1/f shape with no prominent muscle or line noise peaks, and there are no clear low-frequency or ~1Hz rhythmic deflections indicative of eye or heart artifacts. The component fits the characteristics of a brain source."
