set_path,component_index,true_label,predicted_label,confidence,reason
SavedFiles/0137_VDAudio_ICA.set,0,eye,brain,0.9,"Central dipolar topography, clear 1/f spectrum with a visible alpha peak (~10Hz), time series and ERP image look neural."
SavedFiles/0137_VDAudio_ICA.set,1,heart,eye,1.0,"Frontal/periocular topography, large slow deflections in time series, spectrum dominated by low frequencies (<4Hz)."
SavedFiles/0137_VDAudio_ICA.set,2,eye,muscle,0.9,"Edge/lateral topography, flat/rising high-frequency spectrum, no alpha peak, time series is noisy."
SavedFiles/0137_VDAudio_ICA.set,3,brain,brain,0.8,"Central dipolar topography, 1/f spectrum, possible weak alpha, time series and ERP image are neural-like."
SavedFiles/0137_VDAudio_ICA.set,4,brain,brain,0.8,"Lateral/temporal dipolar topography, 1/f spectrum with possible alpha/beta, time series and ERP image are neural-like."
SavedFiles/0137_VDAudio_ICA.set,5,heart,brain,0.8,"Central/parietal dipolar topography, 1/f spectrum, possible weak alpha, time series and ERP image are neural-like."
SavedFiles/0137_VDAudio_ICA.set,6,muscle,channel_noise,0.95,"Single isolated focal spot, flat/noisy spectrum, erratic time series, not eye (no slow deflections)."
SavedFiles/0137_VDAudio_ICA.set,7,brain,brain,0.8,"Lateral/temporal dipolar topography, 1/f spectrum with possible alpha/beta, time series and ERP image are neural-like."
SavedFiles/0137_VDAudio_ICA.set,8,brain,brain,0.8,"Central/parietal dipolar topography, 1/f spectrum, possible weak alpha, time series and ERP image are neural-like."
SavedFiles/0137_VDAudio_ICA.set,9,brain,brain,0.95,"Dipolar central/parietal topography, clear 1/f spectrum with alpha peak (~10Hz), time series and ERP image are consistent with brain."
SavedFiles/0137_VDAudio_ICA.set,10,muscle,eye,0.95,"Strong frontal/periocular topography, low-frequency dominated spectrum, large slow deflections in time series, classic eye artifact."
SavedFiles/0137_VDAudio_ICA.set,11,muscle,eye,0.95,"Frontal focus, low-frequency spectrum, large slow deflections in time series, fits eye movement/blink artifact."
SavedFiles/0137_VDAudio_ICA.set,12,muscle,eye,0.95,"Frontal/edge topography, low-frequency spectrum, large slow deflections in time series, consistent with eye artifact."
SavedFiles/0137_VDAudio_ICA.set,13,muscle,brain,0.9,"Lateral/temporal dipolar topography, 1/f spectrum with alpha peak, time series/ERP image consistent with brain."
SavedFiles/0137_VDAudio_ICA.set,14,brain,brain,0.9,"Central dipolar topography, 1/f spectrum with alpha peak, time series and ERP image consistent with brain."
SavedFiles/0137_VDAudio_ICA.set,15,muscle,brain,0.9,"Lateral dipolar topography, 1/f spectrum with alpha peak, time series/ERP image consistent with brain."
SavedFiles/0137_VDAudio_ICA.set,16,brain,brain,0.9,"Central/parietal dipolar topography, 1/f spectrum with alpha peak, time series/ERP image consistent with brain."
SavedFiles/0137_VDAudio_ICA.set,17,muscle,brain,0.9,"Lateral dipolar topography, 1/f spectrum with alpha peak, time series/ERP image consistent with brain."
SavedFiles/0137_VDAudio_ICA.set,18,muscle,brain,0.9,"Central dipolar topography, clear 1/f spectrum with alpha peak, clean time series."
SavedFiles/0137_VDAudio_ICA.set,19,muscle,brain,0.9,"Lateral/temporal dipolar topography, 1/f spectrum with alpha peak, clean time series."
SavedFiles/0137_VDAudio_ICA.set,20,brain,muscle,1.0,"Edge/lateral topography, flat/rising high-frequency spectrum, no alpha peak, noisy time series."
SavedFiles/0137_VDAudio_ICA.set,21,muscle,brain,0.9,"Central dipolar topography, 1/f spectrum with alpha peak, clean time series."
SavedFiles/0137_VDAudio_ICA.set,22,muscle,brain,0.9,"Lateral/temporal dipolar topography, 1/f spectrum with alpha peak, clean time series."
SavedFiles/0137_VDAudio_ICA.set,23,muscle,eye,1.0,"Frontal/periocular topography, low-frequency dominated spectrum, large slow deflections in time series."
SavedFiles/0137_VDAudio_ICA.set,24,brain,brain,0.9,"Central dipolar topography, 1/f spectrum with alpha peak, clean time series."
SavedFiles/0137_VDAudio_ICA.set,25,muscle,brain,0.9,"Central dipolar topography, 1/f spectrum with alpha peak, clean time series."
SavedFiles/0137_VDAudio_ICA.set,26,muscle,channel_noise,1.0,"Single isolated focal spot, flat/noisy spectrum, erratic time series."
SavedFiles/0137_VDAudio_ICA.set,27,brain,brain,0.95,"Central dipolar topography, clear 1/f spectrum with alpha peak (~10Hz), no artifact features."
SavedFiles/0137_VDAudio_ICA.set,28,muscle,eye,0.98,"Frontal/periocular topography, large slow deflections in time series, low-frequency dominated spectrum."
SavedFiles/0137_VDAudio_ICA.set,29,muscle,brain,0.9,"Central dipolar topography, 1/f spectrum with possible weak alpha, no artifact features."
SavedFiles/0137_VDAudio_ICA.set,30,muscle,brain,0.9,"Central/parietal dipolar topography, 1/f spectrum with possible alpha, no artifact features."
SavedFiles/0137_VDAudio_ICA.set,31,muscle,brain,0.9,"Central dipolar topography, 1/f spectrum with alpha peak, no artifact features."
SavedFiles/0137_VDAudio_ICA.set,32,eye,eye,0.98,"Frontal/periocular topography, large slow deflections in time series, low-frequency dominated spectrum."
SavedFiles/0137_VDAudio_ICA.set,33,muscle,brain,0.9,"Central/parietal dipolar topography, 1/f spectrum with possible alpha, no artifact features."
SavedFiles/0137_VDAudio_ICA.set,34,muscle,brain,0.9,"Central dipolar topography, 1/f spectrum with possible weak alpha, no artifact features."
SavedFiles/0137_VDAudio_ICA.set,36,eye,brain,0.85,"Lateral/temporal dipolar topography, 1/f spectrum with alpha peak, no muscle features."
SavedFiles/0137_VDAudio_ICA.set,37,brain,brain,0.95,"Dipolar central/parietal topography, clear 1/f spectrum with a visible alpha peak (~10Hz), no artifact features."
SavedFiles/0137_VDAudio_ICA.set,38,brain,muscle,0.95,"Edge/lateral topography and a flat/rising high-frequency spectrum, no alpha peak, consistent with muscle artifact."
SavedFiles/0137_VDAudio_ICA.set,39,muscle,channel_noise,0.95,"Single focal spot on topography, flat/noisy spectrum, erratic time series, fits channel noise."
SavedFiles/0137_VDAudio_ICA.set,40,muscle,channel_noise,0.95,"Single focal spot on topography, flat/noisy spectrum, erratic time series, fits channel noise."
SavedFiles/0137_VDAudio_ICA.set,42,muscle,eye,0.95,"Frontal/periocular topography, large slow deflections in time series, low-frequency dominated spectrum, classic eye artifact."
SavedFiles/0137_VDAudio_ICA.set,43,muscle,brain,0.9,"Dipolar lateral/temporal topography, 1/f spectrum with a possible alpha peak, no artifact features."
SavedFiles/0137_VDAudio_ICA.set,44,muscle,eye,0.95,"Frontal/edge topography, large slow deflections in time series, low-frequency dominated spectrum, fits eye artifact."
SavedFiles/0137_VDAudio_ICA.set,45,muscle,brain,0.9,"Dipolar central/parietal topography, 1/f spectrum with a possible alpha peak, no artifact features."
SavedFiles/0137_VDAudio_ICA.set,46,brain,muscle,0.95,"Edge/lateral topography, flat/rising high-frequency spectrum, no alpha peak, consistent with muscle artifact."
SavedFiles/0137_VDAudio_ICA.set,50,muscle,muscle,0.95,"Edge/lateralized topography, flat/rising high-frequency spectrum, no clear alpha peak."
SavedFiles/0137_VDAudio_ICA.set,51,other,eye,1.0,"Frontal focus, large slow deflections in time series, low-frequency dominated spectrum."
SavedFiles/0137_VDAudio_ICA.set,53,channel,eye,1.0,"Frontal focus, large slow deflections in time series, low-frequency dominated spectrum."
SavedFiles/0137_VDAudio_ICA.set,54,other,eye,0.95,"Frontal focus, large slow deflections in time series, low-frequency dominated spectrum."
SavedFiles/0137_VDAudio_ICA.set,56,other,brain,0.9,"Lateral/temporal dipolar topography, 1/f spectrum with clear alpha peak."
SavedFiles/0137_VDAudio_ICA.set,58,muscle,brain,0.9,"Central dipolar topography, 1/f spectrum with possible alpha peak."
SavedFiles/0137_VDAudio_ICA.set,59,muscle,brain,0.9,"Central/parietal dipolar topography, 1/f spectrum with alpha peak."
SavedFiles/0137_VDAudio_ICA.set,61,brain,muscle,0.95,"Edge/lateralized topography, flat/rising high-frequency spectrum, no alpha peak."
SavedFiles/0137_VDAudio_ICA.set,62,muscle,brain,0.9,"Central dipolar topography, 1/f spectrum with alpha peak."
SavedFiles/0137_VDAudio_ICA.set,63,muscle,brain,0.9,"Lateral/temporal dipolar topography, clear 1/f spectrum with a visible alpha peak (~10 Hz), no high-frequency muscle activity. Time series and ERP image are consistent with brain activity."
SavedFiles/0137_VDAudio_ICA.set,65,eye,eye,0.95,"Frontal/periocular topography, strong low-frequency dominance in the spectrum (<4 Hz), and large slow deflections in the time series. Classic eye artifact pattern."
SavedFiles/0137_VDAudio_ICA.set,66,muscle,muscle,0.85,"Edge-focused topography (temporal edge), relatively flat/rising high-frequency spectrum (no clear alpha peak), and more erratic time series. Fits muscle artifact criteria."
SavedFiles/0137_VDAudio_ICA.set,69,brain,brain,0.8,"Central/parietal dipolar pattern, 1/f spectrum with a broad alpha peak, and no evidence of muscle or eye artifact. Time series and ERP image are consistent with brain activity."
SavedFiles/0161_VD_audio_ICA.set,0,eye,brain,0.9,"Central dipolar topography, clear 1/f spectrum with an alpha peak around 10 Hz, no artifact features."
SavedFiles/0161_VD_audio_ICA.set,1,eye,eye,1.0,"Strong frontal/periocular topography, large slow deflections in time series, low-frequency dominated spectrum."
SavedFiles/0161_VD_audio_ICA.set,2,eye,eye,0.95,"Frontal/upper head topography, slow large deflections in time series, low-frequency spectrum."
SavedFiles/0161_VD_audio_ICA.set,3,brain,brain,0.8,"Central-parietal dipolar topography, 1/f spectrum with possible weak alpha, no artifact features."
SavedFiles/0161_VD_audio_ICA.set,4,brain,brain,0.9,"Central dipolar topography, 1/f spectrum with a clear alpha peak, no artifact features."
SavedFiles/0161_VD_audio_ICA.set,5,muscle,muscle,0.95,"Edge/lateral topography, flat/rising high-frequency spectrum, no alpha peak, time series is noisy."
