set_path,component_index,true_label_norm,predicted_label,confidence,reason
SavedFiles/0137_VDAudio_ICA.set,1,heart,eye,0.95,"Scalp map is strongly frontal, time series shows large slow deflections resembling blinks, and power spectrum is dominated by low frequencies (<5 Hz). All panels converge on classic eye/blink component."
SavedFiles/0137_VDAudio_ICA.set,5,heart,muscle,0.9,"Scalp map is edge-focused, time series is spiky and erratic, and power spectrum shows broad high-frequency power above 20 Hz with a flat/rising profile. Decisive muscle spectral signature."
SavedFiles/0137_VDAudio_ICA.set,23,muscle,brain,0.8,"Scalp map is dipolar and lateralized, time series is smooth/rhythmic, and power spectrum shows 1/f decay with no artifact signature. No evidence for muscle, eye, or heart."
SavedFiles/0137_VDAudio_ICA.set,39,muscle,channel_noise,0.95,"Scalp map is sharply focal to a single electrode with no smooth spatial falloff, time series is noisy, and power spectrum is flat. Decisive isolated bad channel signature."
SavedFiles/0137_VDAudio_ICA.set,53,channel_noise,brain,0.85,"Scalp map is roughly dipolar and central, time series is smooth with rhythmic activity, ERP-like image shows consistent pattern, and power spectrum has a 1/f shape with a peak around 10 Hz (alpha). Classic brain component."
SavedFiles/0137_VDAudio_ICA.set,66,muscle,other_artifact,0.7,"Scalp map is non-dipolar and splotchy, time series is noisy but not clearly muscle or eye, and power spectrum is ambiguous (no clear muscle or line noise signature). Mixed/contradictory evidence best fits other_artifact."
SavedFiles/0161_VD_audio_ICA.set,6,heart,eye,0.95,"Scalp map is strongly frontal/periocular. Time series shows large, slow, blink-like deflections. Power spectrum is low-frequency dominant. Classic blink/eye movement pattern."
SavedFiles/0161_VD_audio_ICA.set,16,heart,brain,0.8,Scalp map is roughly dipolar and not edge/frontal focused. Power spectrum shows 1/f-like decay with a possible alpha peak around 10 Hz. Time series is smooth without clear artifact structure. No decisive artifact cues.
SavedFiles/0161_VD_audio_ICA.set,18,eye,brain,0.7,Scalp map is dipolar and central/parietal. Power spectrum shows 1/f decay with no high-frequency muscle or low-frequency eye dominance. Time series is smooth without artifact signature.
SavedFiles/0161_VD_audio_ICA.set,25,eye,brain,0.7,"Scalp map is dipolar and central/parietal. Power spectrum shows 1/f decay. No clear evidence for muscle, eye, or other artifact. Time series is smooth."
SavedFiles/0161_VD_audio_ICA.set,33,eye,eye,0.9,"Scalp map is frontal and superior, time series shows step-like and blink-like deflections, and power spectrum is low-frequency dominant. All panels support eye artifact."
SavedFiles/0161_VD_noaudio_ICA.set,1,heart,brain,0.9,"Scalp map is dipolar and central, spectrum shows 1/f falloff with a possible alpha peak, time series is smooth without artifact-like bursts, and ERP image is consistent. No evidence for muscle, eye, or heart."
SavedFiles/0161_VD_noaudio_ICA.set,6,brain,brain,0.85,"Scalp map is highly dipolar and central, spectrum shows 1/f falloff, time series is smooth, and ERP image is consistent. No evidence for muscle, eye, or heart."
SavedFiles/0161_VD_noaudio_ICA.set,11,heart,brain,0.8,"Scalp map is broadly dipolar and central, spectrum shows 1/f falloff, time series is smooth, and ERP image is consistent. No clear artifact cues (no muscle, eye, or heart patterns)."
SavedFiles/0161_VD_noaudio_ICA.set,25,brain,brain,0.8,"Scalp map is dipolar and parietal/occipital, spectrum shows 1/f falloff with possible alpha, time series is smooth, and ERP image is consistent. No artifact cues present."
SavedFiles/0206_VDaudio_ICA.set,1,heart,eye,0.95,"Scalp map is strongly frontal, time series shows large slow deflections, and power spectrum is dominated by low frequencies (<5 Hz), all consistent with eye/blink artifact."
SavedFiles/0206_VDaudio_ICA.set,3,eye,eye,0.9,"Scalp map is frontal, time series shows slow, large deflections, and spectrum is low-frequency dominant, all consistent with eye movement/blink."
SavedFiles/0206_VDaudio_ICA.set,4,eye,other_artifact,0.7,"Topography is multipolar/splotchy, spectrum is not clearly muscle or brain, and time series is irregular; does not fit clear artifact or brain patterns."
SavedFiles/0206_VDaudio_ICA.set,15,muscle,muscle,0.9,"Spectrum is flat and elevated at high frequencies, time series is noisy, and topography is not a single electrode, all consistent with muscle artifact."
SavedFiles/0206_VDaudio_ICA.set,39,other_artifact,eye,0.95,"Scalp map is frontal, time series shows large, slow, blink-like deflections, and the spectrum is low-frequency dominant. Classic eye blink component."
SavedFiles/0206_VDaudio_ICA.set,53,channel_noise,brain,0.85,"Scalp map is dipolar and central, spectrum shows 1/f decay with a possible alpha peak, and time series is smooth/rhythmic without artifact features."
SavedFiles/0206_VDaudio_ICA.set,55,other_artifact,channel_noise,0.95,"Scalp map is dominated by a single isolated electrode with no smooth spatial falloff, time series is noisy, and the spectrum is flat. This fits the definition of channel noise."
SavedFiles/0206_VDaudio_ICA.set,63,channel_noise,brain,0.8,"Dipolar central/parietal map, spectrum falls with frequency and shows a possible alpha peak, time series is smooth and not artifact-like."
SavedFiles/0206_VDaudio_ICA.set,68,channel_noise,muscle,0.9,"Spectrum is flat and elevated at high frequencies (>20 Hz), time series is noisy/bursty, and topography is edge-focused, all consistent with muscle artifact."
SavedFiles/0206_VDaudio_ICA.set,77,muscle,eye,0.95,"Scalp map is strongly frontal with a clear dipole, time series shows a large slow deflection typical of a blink, and the power spectrum is dominated by low frequencies. All panels converge on eye artifact."
SavedFiles/0206_VDaudio_ICA.set,91,other_artifact,brain,0.8,"Scalp map is roughly dipolar and not edge-focused, time series is smooth without obvious artifact, and the spectrum shows a 1/f-like decay with a possible alpha peak. No evidence for muscle, eye, or heart."
SavedFiles/0206_VDaudio_ICA.set,93,eye,brain,0.8,"Dipolar map, 1/f spectrum with possible alpha, and smooth time series, consistent with brain."
SavedFiles/0206_VDaudio_ICA.set,103,channel_noise,brain,0.8,"Dipolar map, spectrum is 1/f-like with possible alpha, and time series is smooth/rhythmic, consistent with brain."
SavedFiles/0206_VDaudio_ICA.set,105,other_artifact,brain,0.8,"Scalp map is dipolar and not edge-focused, time series is smooth, and the spectrum is 1/f-like with no artifact cues. No evidence for muscle, eye, or heart."
SavedFiles/0206_VDnoaudio_ICA.set,1,heart,heart,1.0,"Time series shows regular ~1 Hz QRS-like deflections, ERP image shows repeated bands, scalp map is broad/diffuse (not informative), spectrum not decisive. Classic heart pattern."
SavedFiles/0206_VDnoaudio_ICA.set,2,heart,heart,1.0,"Time series shows regular ~1 Hz QRS-like deflections, ERP image shows repeated bands, scalp map is broad/diffuse, spectrum not decisive. Clear heart component."
SavedFiles/0206_VDnoaudio_ICA.set,18,eye,brain,0.8,"Scalp map is roughly dipolar and not edge/frontal, spectrum shows 1/f decay with possible alpha, time series is smoother. No evidence for muscle, heart, or eye."
SavedFiles/0206_VDnoaudio_ICA.set,24,channel_noise,channel_noise,0.95,"Scalp map is a sharp, isolated electrode with no smooth falloff, spectrum is not muscle-like, time series is noisy but not rhythmic or blink-like. Another clear bad channel."
SavedFiles/0206_VDnoaudio_ICA.set,32,brain,brain,0.8,"Scalp map is roughly dipolar and central, not edge- or eye-focused. The power spectrum shows a 1/f-like decay with a possible alpha peak around 10 Hz, and the time series is smoother/rhythmic. No evidence for muscle, eye, or heart. Fits brain component."
SavedFiles/0206_VDnoaudio_ICA.set,35,channel_noise,channel_noise,0.95,"Scalp map is a sharp, isolated electrode with no smooth falloff, spectrum is not muscle-like, time series is noisy but not rhythmic or blink-like. Another clear bad channel."
