set_path,component_index,true_label_norm,predicted_label,confidence,reason
SavedFiles/0137_VDAudio_ICA.set,0,eye,eye,0.94,Strong symmetric frontal/periocular map with large slow blink-like deflections and dominant low-frequency power.
SavedFiles/0137_VDAudio_ICA.set,1,heart,heart,0.99,"Highly regular, sharp QRS-like transients recur at approximately one-second intervals; segment image shows repeated events."
SavedFiles/0137_VDAudio_ICA.set,2,eye,eye,0.82,"Anterior left-right polarity pattern with slow, large saccade-like shifts and a low-frequency-dominant spectrum."
SavedFiles/0137_VDAudio_ICA.set,3,brain,brain,0.65,Smooth anterior-posterior dipolar topography and broadly 1/f-like spectrum without a defining artifact signature.
SavedFiles/0137_VDAudio_ICA.set,4,brain,muscle,0.78,Focal lateral/temporal edge distribution with erratic fast activity and relatively elevated broad higher-frequency content.
SavedFiles/0137_VDAudio_ICA.set,5,heart,heart,0.79,Repeated sharp stereotyped deflections with a broad anterior-posterior gradient support a cardiac source.
SavedFiles/0137_VDAudio_ICA.set,6,muscle,channel_noise,0.98,Topography is dominated by a single small isolated electrode island with no meaningful smooth opposing field.
SavedFiles/0137_VDAudio_ICA.set,7,brain,other_artifact,0.62,Diffuse central pattern and irregular noisy activity lack a clear dipolar neural rhythm or decisive artifact-specific cue.
SavedFiles/0137_VDAudio_ICA.set,8,brain,brain,0.73,"Plausible posterior-central dipolar map with predominantly falling 1/f spectrum and no clear eye, muscle, or line-noise signature."
SavedFiles/0137_VDAudio_ICA.set,9,brain,brain,0.82,Broad smooth posterior-right dipolar map with a clear 1/f-like declining spectrum and no blink or high-frequency muscle signature.
SavedFiles/0137_VDAudio_ICA.set,10,muscle,muscle,0.9,"Very focal left temporal/edge source, irregular spiky activity, and relatively elevated broad high-frequency spectral power."
SavedFiles/0137_VDAudio_ICA.set,11,muscle,muscle,0.92,Strong focal right temporal-edge dipole with erratic spiky time series and broad non-1/f high-frequency activity.
SavedFiles/0137_VDAudio_ICA.set,12,muscle,muscle,0.87,Localized left frontal-temporal edge source with bursty irregular activity and a spectrum not showing a clean neural 1/f profile.
SavedFiles/0137_VDAudio_ICA.set,13,muscle,muscle,0.93,Highly focal inferior-left edge distribution with dense high-frequency spiking and broadly elevated high-frequency power.
SavedFiles/0137_VDAudio_ICA.set,14,brain,brain,0.77,Smooth broad bilateral posterior distribution and strongly decreasing 1/f-like spectrum; activity lacks a sustained muscle-burst profile.
SavedFiles/0137_VDAudio_ICA.set,15,muscle,muscle,0.91,"Compact left temporal-edge dipole with noisy spiky activity and a relatively flat, high-frequency-rich spectrum."
SavedFiles/0137_VDAudio_ICA.set,16,brain,brain,0.73,Broad central-anterior versus posterior dipolar map with a pronounced declining 1/f spectrum and no decisive artifact rhythm.
SavedFiles/0137_VDAudio_ICA.set,17,muscle,muscle,0.9,"Focal left temporal/edge distribution, irregular high-frequency activity, and a spectrum elevated across higher frequencies rather than clean 1/f decay."
SavedFiles/0137_VDAudio_ICA.set,18,muscle,channel_noise,0.78,"Topography is dominated by a very focal isolated right-frontal hotspot, with irregular noisy activity and no plausible brain rhythm."
SavedFiles/0137_VDAudio_ICA.set,19,muscle,muscle,0.73,Right temporal edge-focused opposing-polarity map and erratic high-frequency-looking activity support muscle artifact.
SavedFiles/0137_VDAudio_ICA.set,20,brain,other_artifact,0.58,"Posterior focal map and noisy activity are not clearly dipolar brain activity, while the spectrum lacks a decisive muscle or line-noise signature."
SavedFiles/0137_VDAudio_ICA.set,21,muscle,channel_noise,0.75,"A sharply localized right-frontal negative island dominates the scalp map, with spiky irregular activity."
SavedFiles/0137_VDAudio_ICA.set,22,muscle,channel_noise,0.81,The compact single left-frontal hotspot is an unmistakably isolated-electrode-like map; activity is irregular rather than physiological.
SavedFiles/0137_VDAudio_ICA.set,23,muscle,muscle,0.68,"Anterior edge-focused mixed-polarity topography, abrupt transient activity, and relatively elevated higher-frequency power fit muscle artifact."
SavedFiles/0137_VDAudio_ICA.set,24,brain,other_artifact,0.68,"Broad multipolar, non-dipolar scalp distribution with irregular activity does not cleanly match brain, eye, muscle, or cardiac patterns."
SavedFiles/0137_VDAudio_ICA.set,25,muscle,channel_noise,0.77,A small sharply focal frontal island without a broad spatial source pattern supports an isolated noisy channel.
SavedFiles/0137_VDAudio_ICA.set,26,muscle,muscle,0.76,Focal lateral temporal/edge dipole with highly erratic activity and broad high-frequency content is characteristic of muscle artifact.
SavedFiles/0137_VDAudio_ICA.set,27,brain,brain,0.62,"Broad, smooth central-versus-peripheral scalp field and a generally 1/f-decreasing spectrum; activity lacks a clear ocular, cardiac, or high-frequency muscle signature."
SavedFiles/0137_VDAudio_ICA.set,28,muscle,channel_noise,0.82,Scalp map is dominated by a very focal anterior electrode-scale hotspot with limited smooth spatial spread; time series contains isolated extreme transients.
SavedFiles/0137_VDAudio_ICA.set,29,muscle,channel_noise,0.88,"An unmistakably isolated, compact frontal hotspot dominates the map without a broad dipolar field, consistent with a bad single channel."
SavedFiles/0137_VDAudio_ICA.set,30,muscle,muscle,0.76,"Focal left temporal/edge distribution, erratic spiky activity, and a spectrum that recovers/rises at higher frequencies support muscle artifact."
SavedFiles/0137_VDAudio_ICA.set,31,muscle,muscle,0.72,Localized frontal field with irregular high-frequency activity and a non-1/f spectrum showing substantial higher-frequency power.
SavedFiles/0137_VDAudio_ICA.set,32,eye,eye,0.9,"Broad frontal/periocular distribution, large slow blink-like deflection in the time series, and strongly low-frequency-dominant spectrum."
