set_path,component_index,true_label_norm,predicted_label,confidence,reason
SavedFiles/0137_VDAudio_ICA.set,1,heart,heart,0.92,"Broad scalp distribution with repeated sharp, approximately 1 Hz rhythmic deflections in the time series."
SavedFiles/0137_VDAudio_ICA.set,5,heart,brain,0.82,Broad dipolar anterior-posterior topography with a generally declining 1/f-like spectrum and no clear artifact signature.
SavedFiles/0137_VDAudio_ICA.set,23,muscle,muscle,0.94,Frontal-edge focal topography combined with a flattened/rising high-frequency spectrum and irregular fast activity.
SavedFiles/0137_VDAudio_ICA.set,39,muscle,channel_noise,0.94,Single isolated sensor-like focal spot with an erratic time series and broadly flat noisy higher-frequency spectrum.
SavedFiles/0137_VDAudio_ICA.set,53,channel_noise,other_artifact,0.68,"Highly focal central topography and strongly low-frequency activity, but neither frontal ocular morphology nor the flat noisy spectrum required for channel noise."
SavedFiles/0137_VDAudio_ICA.set,66,muscle,brain,0.78,Lateral temporal dipolar pattern with a declining 1/f spectrum and a modest alpha-range peak.
SavedFiles/0161_VD_audio_ICA.set,6,heart,heart,0.96,Highly regular approximately 1-2 Hz cardiac-like spikes and broadly distributed scalp projection.
SavedFiles/0161_VD_audio_ICA.set,16,heart,heart,0.93,Regular approximately 1-2 Hz sharp deflections with a broad dipolar scalp distribution.
SavedFiles/0161_VD_audio_ICA.set,18,eye,eye,0.94,Broad frontal/periocular maximum with slow transient excursions and strongly low-frequency-dominated power.
SavedFiles/0161_VD_audio_ICA.set,25,eye,eye,0.88,Frontal periocular topography and low-frequency-dominated spectrum with irregular slow ocular-like activity.
SavedFiles/0161_VD_audio_ICA.set,33,eye,eye,0.99,"Strong frontal focus, large slow time-series deflections, and a spectrum dominated by very low frequencies."
SavedFiles/0161_VD_noaudio_ICA.set,1,heart,heart,0.91,"Large, stereotyped deflections recur at approximately 1 Hz, with a broad scalp distribution."
SavedFiles/0161_VD_noaudio_ICA.set,6,brain,brain,0.82,Central dipolar topography with a declining 1/f-like spectrum and a distinct spectral bump consistent with neural activity.
SavedFiles/0161_VD_noaudio_ICA.set,11,heart,brain,0.73,Broad dipolar scalp pattern and a generally 1/f spectrum without the edge-focused high-frequency profile of muscle.
SavedFiles/0161_VD_noaudio_ICA.set,25,brain,brain,0.89,Clear dipolar scalp distribution with a declining spectrum and prominent alpha/beta-range peaks.
