set_path,component_index,true_label_norm,predicted_label,confidence,reason
SavedFiles/0137_VDAudio_ICA.set,1,heart,heart,0.98,"Regular, sharp QRS-like deflections recur about once per second; broad scalp gradient is consistent with cardiac projection."
SavedFiles/0137_VDAudio_ICA.set,5,heart,eye,0.84,Broad anterior-to-posterior frontal distribution with low-frequency-dominant spectrum and intermittent large slow transients.
SavedFiles/0137_VDAudio_ICA.set,23,muscle,muscle,0.91,"Focal frontal/edge distribution, erratic spiky activity, and relatively elevated broad high-frequency spectral power."
SavedFiles/0137_VDAudio_ICA.set,39,muscle,channel_noise,0.9,"Scalp map shows an unmistakably focal isolated central-right electrode island, with noisy activity and no smooth source field."
SavedFiles/0137_VDAudio_ICA.set,53,channel_noise,channel_noise,0.93,Topography is dominated by a very small isolated electrode-like hotspot without a plausible smooth dipolar field.
SavedFiles/0137_VDAudio_ICA.set,66,muscle,muscle,0.78,"Right frontal/temporal focality with bursty, spiky activity supports a localized muscle artifact rather than a brain source."
SavedFiles/0161_VD_audio_ICA.set,6,heart,heart,0.96,"Repeated stereotyped sharp deflections at a regular cardiac-like interval, with corresponding repeated segment features and a broad non-neural topography."
SavedFiles/0161_VD_audio_ICA.set,16,heart,heart,0.97,"Highly regular, sharp QRS-like deflections recur throughout the time series; broad anterior-posterior scalp gradient supports a distant cardiac source."
SavedFiles/0161_VD_audio_ICA.set,18,eye,eye,0.72,"Frontal-polar scalp distribution and strongly low-frequency-weighted spectrum support ocular activity, despite noisier irregular time-series structure."
SavedFiles/0161_VD_audio_ICA.set,25,eye,eye,0.75,Predominantly frontal/periocular distribution with low-frequency-dominant power and irregular large ocular-like activity supports eye artifact.
SavedFiles/0161_VD_audio_ICA.set,33,eye,eye,0.94,Strong frontal/periocular scalp focus with large intermittent slow deflections and low-frequency-dominant spectrum is characteristic of blink activity.
SavedFiles/0161_VD_noaudio_ICA.set,1,heart,eye,0.8,Broad anterior-posterior/oblique dipole with large abrupt slow deflections and strongly low-frequency-dominant spectrum is most consistent with ocular movement activity.
SavedFiles/0161_VD_noaudio_ICA.set,6,brain,other_artifact,0.62,"The centrally concentrated, non-dipolar map and erratic broadband-looking activity do not cleanly fit eye, heart, line noise, or an isolated bad channel."
SavedFiles/0161_VD_noaudio_ICA.set,11,heart,brain,0.68,Smooth broad dipolar scalp distribution and a generally 1/f-decaying spectrum support a neural component despite somewhat irregular activity.
SavedFiles/0161_VD_noaudio_ICA.set,25,brain,brain,0.6,"The map has a plausible localized dipolar pattern and the spectrum retains a low-frequency/1-f-like decline without decisive ocular, cardiac, or line-noise cues."
SavedFiles/0206_VDaudio_ICA.set,1,heart,heart,0.9,"Regular, sharp recurring deflections at a cardiac-rate rhythm dominate the time series; the broad posterior gradient is compatible with a distant cardiac source."
SavedFiles/0206_VDaudio_ICA.set,3,eye,eye,0.89,"Opposing left-right frontal polarity and large slow, saccade-like deflections strongly indicate horizontal eye movement artifact."
SavedFiles/0206_VDaudio_ICA.set,4,eye,eye,0.67,"Broad anterior-posterior scalp gradient with frontal emphasis and low-frequency-dominant, large transient activity is most consistent with ocular artifact."
SavedFiles/0206_VDaudio_ICA.set,15,muscle,muscle,0.83,"Broad high-frequency, jagged activity and a relatively flat/rising high-frequency spectrum indicate muscle artifact; the inferior edge-focused map is compatible with neck muscle."
SavedFiles/0206_VDaudio_ICA.set,39,other_artifact,heart,0.79,Time series shows prominent repeating slow cardiac-like complexes including a sharp QRS-like transient; segment image supports recurring events.
SavedFiles/0206_VDaudio_ICA.set,53,channel_noise,channel_noise,0.92,"Topography is dominated by a tiny, isolated frontal electrode island with little smooth spatial spread; activity is irregular and nonphysiologic."
SavedFiles/0206_VDaudio_ICA.set,55,other_artifact,channel_noise,0.78,"Very focal single-site left posterior/edge topography with erratic activity, consistent with a bad electrode source."
SavedFiles/0206_VDaudio_ICA.set,63,channel_noise,channel_noise,0.86,"A highly focal isolated right temporal/inferior electrode pattern dominates the map, with transient noisy activity and no coherent neural rhythm."
SavedFiles/0206_VDaudio_ICA.set,68,channel_noise,channel_noise,0.88,The scalp map contains an unmistakably localized left-edge electrode island; the erratic high-frequency time series supports a bad-channel source.
SavedFiles/0206_VDaudio_ICA.set,77,muscle,eye,0.96,Strong frontal/periocular map with a large slow blink-like deflection and dominant low-frequency power.
SavedFiles/0206_VDaudio_ICA.set,91,other_artifact,channel_noise,0.82,Topography is dominated by a compact isolated posterior electrode island; activity is irregular without a physiological rhythmic pattern.
SavedFiles/0206_VDaudio_ICA.set,93,eye,channel_noise,0.9,"A single sharp left temporal/edge electrode island dominates the topography, paired with irregular noisy activity."
SavedFiles/0206_VDaudio_ICA.set,103,channel_noise,channel_noise,0.86,A compact right temporal/inferior hotspot without a broad opposing pole is consistent with an isolated noisy electrode.
SavedFiles/0206_VDaudio_ICA.set,105,other_artifact,other_artifact,0.63,"Splotchy, multipolar posterior map and irregular activity lack decisive eye, muscle, cardiac, line-noise, or isolated-channel evidence."
SavedFiles/0206_VDnoaudio_ICA.set,1,heart,heart,0.98,"Highly regular sharp QRS-like deflections recur throughout the time series, with matching repeated segment structure."
SavedFiles/0206_VDnoaudio_ICA.set,2,heart,heart,0.98,"Clear periodic, stereotyped sharp deflections and repeated bands across segments indicate cardiac activity."
SavedFiles/0206_VDnoaudio_ICA.set,18,eye,channel_noise,0.98,"A sharply confined right-frontal electrode hotspot dominates the map, without smooth spatial falloff."
SavedFiles/0206_VDnoaudio_ICA.set,24,channel_noise,channel_noise,0.98,Very focal single-electrode frontal hotspot with noisy activity and no plausible distributed source pattern.
