set_path,component_index,true_label_norm,predicted_label,confidence,reason
SavedFiles/0137_VDAudio_ICA.set,1,heart,heart,0.98,"Large, highly regular QRS-like deflections recur about once per second; the broad left-right scalp gradient and low-frequency spectrum support ECG artifact."
SavedFiles/0137_VDAudio_ICA.set,5,heart,eye,0.84,Broad frontal-positive/posterior-negative distribution with low-frequency-dominant power and large slow/transient activity is consistent with ocular artifact.
SavedFiles/0137_VDAudio_ICA.set,23,muscle,muscle,0.95,"Erratic high-frequency time course and broadly flat/rising power above roughly 20 Hz are decisive for muscle, with a focal frontal/edge distribution."
SavedFiles/0137_VDAudio_ICA.set,39,muscle,channel_noise,0.83,"A small, isolated right-central/temporal electrode-like island combines with a noisy, non-rising high-frequency spectrum, fitting channel noise better than muscle."
SavedFiles/0137_VDAudio_ICA.set,53,channel_noise,channel_noise,0.9,"Topography is a sharply isolated posterior electrode island without a smooth dipolar field, while the spectrum decays rather than showing muscle-like high-frequency elevation."
SavedFiles/0137_VDAudio_ICA.set,66,muscle,other_artifact,0.69,"Focal right-frontal opposing patches and transient spikes are artifact-like, but the non-elevated spectrum does not support muscle and the map is not a clear single-channel island."
SavedFiles/0161_VD_audio_ICA.set,6,heart,heart,0.96,"Very regular, narrow high-amplitude deflections occur at roughly one-second intervals, with corresponding repeated image features and a broad lateral scalp gradient."
SavedFiles/0161_VD_audio_ICA.set,16,heart,heart,0.97,"Regular, sharp QRS-like complexes recur about once per second; the segment image repeats these events and the broad scalp gradient is consistent with cardiac artifact."
SavedFiles/0161_VD_audio_ICA.set,18,eye,other_artifact,0.62,The map is frontal but the time course is irregular and noisy rather than clearly blink- or saccade-like; spectrum is low-frequency weighted without muscle-like high-frequency elevation.
SavedFiles/0161_VD_audio_ICA.set,25,eye,other_artifact,0.6,"Frontal weighting suggests possible ocular contribution, but the erratic time series and non-specific segment image do not show a clear blink or saccade pattern; spectrum is not muscle-like."
SavedFiles/0161_VD_audio_ICA.set,33,eye,eye,0.86,"Strong bilateral frontal/periocular topography, intermittent large slow deflections, and a low-frequency-dominant 1/f spectrum support blink-related activity."
SavedFiles/0161_VD_noaudio_ICA.set,1,heart,heart,0.93,"Time series shows repeated sharp, approximately once-per-second QRS-like deflections; the segment image also contains recurring transient structure. The broad scalp gradient and low-frequency spectrum are consistent with ECG artifact."
SavedFiles/0161_VD_noaudio_ICA.set,6,brain,brain,0.58,"The central scalp distribution is smooth with a surrounding opposite polarity, consistent with a cortical dipole. Although the time series and segment image look noisy, the spectrum declines with frequency rather than showing the flat/rising high-frequency profile expected for muscle."
SavedFiles/0161_VD_noaudio_ICA.set,11,heart,brain,0.72,"Topography is a smooth broad dipolar distribution rather than focal/edge-only activity, while the spectrum has a generally 1/f-like decline without elevated high-frequency muscle power. The time series is irregular but lacks clear blink, saccade, or QRS structure."
SavedFiles/0161_VD_noaudio_ICA.set,25,brain,other_artifact,0.66,"The fronto-lateral, asymmetric map and noisy time series are not a clean cortical dipole, isolated bad channel, or clear ocular pattern. Its spectrum is low-frequency weighted without decisive muscle or line-noise evidence, leaving a mixed/unclear artifact pattern."
SavedFiles/0206_VDaudio_ICA.set,1,heart,heart,0.9,"Regular sharp, QRS-like deflections recur through the trace, with harmonic-like low-frequency spectral structure and a broad scalp gradient."
SavedFiles/0206_VDaudio_ICA.set,3,eye,eye,0.96,Clear opposing left-right frontal polarity plus step-like slow shifts and low-frequency-dominant power strongly indicate horizontal eye movements.
SavedFiles/0206_VDaudio_ICA.set,4,eye,eye,0.78,"Strong anterior/frontal distribution with low-frequency-dominant spectrum and large slow, non-rhythmic deflections consistent with ocular activity."
SavedFiles/0206_VDaudio_ICA.set,15,muscle,muscle,0.91,"Dense fast, erratic time-series activity and a flat-to-rising high-frequency spectrum indicate muscle despite the inferior focal map."
SavedFiles/0206_VDaudio_ICA.set,39,other_artifact,other_artifact,0.62,"Slow large deflections and posterior focal map do not form a clear ocular, cardiac, brain, or isolated-channel pattern; spectrum is simply low-frequency weighted."
SavedFiles/0206_VDaudio_ICA.set,53,channel_noise,channel_noise,0.88,Topography is a sharply isolated frontal electrode island without smooth spatial spread; time series is noisy and spectrum lacks high-frequency muscle elevation.
SavedFiles/0206_VDaudio_ICA.set,55,other_artifact,channel_noise,0.86,"Very sharp single-site left-temporal/edge island without a clear opposing pole, plus noisy time course and non-elevated high-frequency spectrum."
SavedFiles/0206_VDaudio_ICA.set,63,channel_noise,channel_noise,0.78,"A highly focal right-lateral electrode island dominates the map, while the spectrum retains a non-elevated 1/f-like decline."
SavedFiles/0206_VDaudio_ICA.set,68,channel_noise,muscle,0.9,Erratic high-frequency activity and a relatively flat elevated spectrum above roughly 20 Hz outweigh the focal temporal/edge map.
SavedFiles/0206_VDaudio_ICA.set,77,muscle,eye,0.94,Frontal/periocular topography with a large slow blink-like deflection and strongly low-frequency-dominant spectrum.
SavedFiles/0206_VDaudio_ICA.set,91,other_artifact,channel_noise,0.82,Topography is dominated by a compact isolated inferior-left electrode island; activity is erratic but the spectrum shows clean decay without muscle-like high-frequency elevation.
SavedFiles/0206_VDaudio_ICA.set,93,eye,channel_noise,0.72,Map is dominated by a compact isolated left periocular/temporal island; noisy trace and decaying spectrum provide no muscle-like high-frequency rise.
SavedFiles/0206_VDaudio_ICA.set,103,channel_noise,channel_noise,0.84,"Single localized right-temporal electrode focus, noisy intermittent signal, and a smoothly decaying rather than high-frequency-elevated spectrum."
SavedFiles/0206_VDaudio_ICA.set,105,other_artifact,brain,0.58,"Localized central/inferior dipolar pattern with a generally 1/f-like spectrum and no decisive ocular, line-noise, muscle, or single-electrode signature."
SavedFiles/0206_VDnoaudio_ICA.set,1,heart,heart,0.98,"Highly regular, sharp QRS-like deflections at roughly 1 Hz recur in the time series and segment image; the broad scalp gradient is compatible with ECG projection."
