set_path,component_index,true_label_norm,predicted_label,confidence,reason
SavedFiles/0137_VDAudio_ICA.set,1,heart,eye,0.95,"Scalp map is strongly frontal/periocular, time series shows large slow deflections resembling blinks, and the power spectrum is dominated by low frequencies (<5 Hz). All panels converge on classic blink/eye artifact."
SavedFiles/0137_VDAudio_ICA.set,5,heart,muscle,0.85,"Scalp map is edge-focused and shallow, time series is noisy and erratic, and the power spectrum shows elevated high-frequency power above 20 Hz with a flat/rising profile. These are classic muscle artifact features."
SavedFiles/0137_VDAudio_ICA.set,23,muscle,other_artifact,0.7,"Scalp map is non-dipolar and splotchy, time series is noisy but not clearly muscle or eye, and the spectrum is not flat or muscle-like. Panels do not converge on a clear category, so other_artifact is most appropriate."
SavedFiles/0137_VDAudio_ICA.set,39,muscle,brain,0.85,"Scalp map is focal but dipolar, time series is relatively smooth, ERP image is consistent, and the power spectrum shows a 1/f profile without high-frequency elevation. These features are most consistent with a brain source."
SavedFiles/0137_VDAudio_ICA.set,53,channel_noise,brain,0.9,"Scalp map is central and roughly dipolar, time series is smooth with rhythmic features, ERP image shows consistent activity, and the power spectrum has a 1/f profile with an alpha peak around 10 Hz. All panels support a brain source."
SavedFiles/0137_VDAudio_ICA.set,66,muscle,muscle,0.8,"Scalp map is edge-focused and shallow, time series is erratic, and the power spectrum shows broad high-frequency elevation above 20 Hz, consistent with muscle artifact."
SavedFiles/0161_VD_audio_ICA.set,6,heart,eye,0.95,"Scalp map is strongly frontal/periocular. Time series shows large, slow, blink-like deflections. Spectrum is dominated by low frequencies (<5 Hz). All evidence points to eye (blink) artifact."
SavedFiles/0161_VD_audio_ICA.set,16,heart,brain,0.8,"Scalp map is roughly dipolar and central-parietal, not edge/frontal. Spectrum shows 1/f falloff with a possible alpha peak, no high-frequency elevation. Time series is smooth, not blink- or muscle-like. All panels are consistent with a brain source."
SavedFiles/0161_VD_audio_ICA.set,18,eye,brain,0.7,"Scalp map is broadly dipolar and central, not edge-focused. Spectrum shows 1/f falloff without high-frequency elevation. Time series is smooth and not artifact-like. All panels are consistent with a brain source, though confidence is moderate due to some possible noise."
SavedFiles/0161_VD_audio_ICA.set,25,eye,brain,0.7,"Scalp map is dipolar and central, not edge/frontal. Spectrum shows 1/f falloff, no high-frequency elevation. Time series is smooth and not artifact-like. All panels are consistent with a brain source, though confidence is moderate due to some possible noise."
SavedFiles/0161_VD_audio_ICA.set,33,eye,eye,0.9,"Scalp map is frontal with a left-right gradient, consistent with horizontal eye movement. Time series shows step-like changes with abrupt transitions, typical of saccades. Spectrum is low-frequency dominant. Strong converging evidence for eye (horizontal movement)."
SavedFiles/0161_VD_noaudio_ICA.set,1,heart,brain,0.9,"Scalp map is broadly dipolar and central, not frontal or edge-focused. The power spectrum shows a clear 1/f decay with a possible alpha peak (~10 Hz), and the time series is smooth without large, slow deflections or high-frequency bursts. All panels support a brain source."
SavedFiles/0161_VD_noaudio_ICA.set,6,brain,muscle,0.95,"Scalp map is highly focal and edge/temporal, not dipolar. The power spectrum is flat with strong high-frequency power above 20 Hz, which is decisive for muscle. The time series is noisy and bursty, further supporting muscle."
SavedFiles/0161_VD_noaudio_ICA.set,11,heart,muscle,0.8,"Scalp map is somewhat edge-focused and not clearly dipolar. The power spectrum shows elevated power above 20 Hz with a flatter high-frequency profile, which is characteristic of muscle activity. The time series is spiky/erratic, supporting this classification."
SavedFiles/0161_VD_noaudio_ICA.set,25,brain,brain,0.7,"Scalp map is broadly dipolar and not frontal/edge-focused. The power spectrum shows a 1/f profile with a possible alpha peak, and the time series is relatively smooth. There is no evidence for eye, muscle, or other artifact. Slightly lower confidence due to some possible mixed features, but overall fits brain."
SavedFiles/0206_VDaudio_ICA.set,1,heart,eye,0.95,"Scalp map is strongly frontal with a superior-inferior gradient, time series shows large, slow deflections typical of blinks, and power is concentrated below 5 Hz. All panels converge on classic blink/eye artifact."
SavedFiles/0206_VDaudio_ICA.set,3,eye,heart,0.95,"Scalp map is broad, time series shows regular QRS-like deflections at ~1 Hz, and ERP image shows repeated bands. Classic ECG/heart artifact."
SavedFiles/0206_VDaudio_ICA.set,4,eye,other_artifact,0.7,"Scalp map is multipolar/splotchy, spectrum is 1/f-like but panels do not converge, and time series is irregular. Mixed evidence, does not fit cleanly into other categories."
SavedFiles/0206_VDaudio_ICA.set,15,muscle,muscle,0.9,"Scalp map is edge-focused, spectrum is flat with high-frequency elevation, and time series is noisy. All panels indicate muscle artifact."
SavedFiles/0206_VDaudio_ICA.set,39,other_artifact,eye,1.0,"Scalp map is strong frontal with bilateral polarity. Time series shows large, slow, blink-like deflections. Spectrum is dominated by low frequencies. All panels agree on classic blink/eye artifact."
SavedFiles/0206_VDaudio_ICA.set,53,channel_noise,brain,0.8,"Scalp map is central and roughly dipolar, spectrum shows 1/f decay with a possible alpha peak, time series is smooth without artifact-like features. No evidence for artifact."
SavedFiles/0206_VDaudio_ICA.set,55,other_artifact,muscle,0.9,"Scalp map is highly focal to one electrode, but the spectrum is flat and elevated above 20 Hz, indicating muscle rather than channel_noise. Time series is bursty and erratic, supporting muscle."
